year,title,authors,journal,status_or_note,doi_or_link,tags
2025,MOF-KAN: Kolmogorov-Arnold Networks for Digital Discovery of Metal-Organic Frameworks,Xiaoyu Wu; Xianyu Song; Yifei Yue; Rui Zheng; Jianwen Jiang[cor],The Journal of Physical Chemistry Letters,,https://doi.org/10.1021/acs.jpclett.5c00211,KAN; MOF discovery; Machine learning
2025,Computational Screening Guiding the Development of a Covalent-Organic Framework-Based Gas Sensor for Early Detection of Lithium-Ion Battery Electrolyte Leakage,Liangdan Zhao; Chunyi Yu; Xiaoyu Wu; Mingrui Zuo; Qian Zhang; Qiuchen Dong[cor]; Lifeng Ding[cor],ACS Applied Materials & Interfaces,,https://doi.org/10.1021/acsami.4c19321,COFs; Gas sensor; Computational screening
2025,Leveraging Cross-Diversity Machine Learning to Unveil Metal-Organic Frameworks with Open Copper Sites for Biogas Upgrading,Xiaoyu Wu[cf]; Rui Zheng[cf]; Jianwen Jiang[cor],Journal of Chemical Theory and Computation,,https://doi.org/10.1021/acs.jctc.4c01478,Biogas upgrading; Open metal sites; Machine learning
2024,Accurate and interpretable machine learning with Pore+ descriptors for iodide capture in metal-organic frameworks,Xiaoyu Wu; Xianyu Song; Linjiang Chen[cor]; Chunyi Yu; Liangdan Zhao; Mingrui Zuo; Chenrui Li; Heechae Choi; Jianwen Jiang[cor]; Lifeng Ding[cor],Separation and Purification Technology,,https://doi.org/10.1016/j.seppur.2024.130933,Pore+; Iodide capture; Interpretable ML
2024,Precision-engineered metal-organic frameworks: fine-tuning reverse topological structure prediction and design,Xiaoyu Wu; Jianwen Jiang[cor],Chemical Science,Cover Article,https://doi.org/10.1039/d4sc05616g,Topology; Inverse design; MOFs
2024,Topological isomerism design of demulsifiers: A fusion of molecular dynamics simulation and experiment,Chengjie Wang; Pingli Liu; Jinzhou Zhao; Juan Du; Xiang Chen; Xiaoyu Wu[cor]; Xianyu Song[cor]; Guan Wang; Jinming Liu; Yonghua Xiao[cor],Journal of Molecular Liquids,,https://doi.org/10.1016/j.molliq.2024.125000,Molecular dynamics; Experiment; Demulsifiers
2022,Design of a MOF based on octa-nuclear zinc clusters realizing both thermal stability and structural flexibility,Yunsheng Ma; Xiaoyan Tang; Ming Chen; Akio Mishima; Liangchun Li; Akihiro Hori; Xiaoyu Wu; Lifeng Ding; Shinpei Kusaka; Ryotaro Matsuda[cor],Chemical Communications,,https://doi.org/10.1039/d1cc05893b,MOFs; Thermal stability; Flexibility
2022,Mapping the Porous and Chemical Structure-Function Relationships of Trace CH3I Capture by Metal-Organic Frameworks using Machine Learning,Xiaoyu Wu; Yu Che; Linjiang Chen[cor]; Eric Jean Amigues; Ruiyao Wang; Jinghui He; Huilong Dong; Lifeng Ding[cor],ACS Applied Materials & Interfaces,,https://doi.org/10.1021/acsami.2c10861,CH3I capture; Machine learning; MOFs
2021,In Silico Tuning of the Pore Surface Functionality in Al-MOFs for Trace CH3I Capture,Xiaoyu Wu; Linjiang Chen[cor]; Eric Jean Amigues; Ruiyao Wang; Zhongfu Pang; Lifeng Ding[cor],ACS Omega,,https://doi.org/10.1021/acsomega.1c02072,Al-MOFs; CH3I capture; Molecular simulation
2020,"Unconventional Pyridyl Ligand Inclusion within a Flexible Metal-Organic Framework Bearing an N,N?€?-Diethylformamide (DEF)-Solvated Cd5 Cluster Secondary Building Unit",Meng-Yao Chao; Jing Chen; Xiao-Yu Wu; Rui-Yao Wang; Pei-Pei Wang; Lifeng Ding[cor]; David J. Young; Wen-Hua Zhang[cor],ChemPlusChem,,https://doi.org/10.1002/cplu.202000127,Flexible MOFs; Ligand inclusion
2018,Understanding Water Adsorption and the Impact on CO2 Capture in Chemically Stable Covalent Organic Frameworks,Yuxin Ge; Hao Zhou; Yujin Ji; Lifeng Ding[cor]; Yuanyuan Cheng; Ruiyao Wang; Siyuan Yang; Yufeng Liu; Xiaoyu Wu; Youyong Li[cor],The Journal of Physical Chemistry C,,https://doi.org/10.1021/acs.jpcc.8b09033,COFs; Water adsorption; CO2 capture
